;Trip_Distance_km;Passenger_Count;Base_Fare;Per_Km_Rate;Per_Minute_Rate;Trip_Duration_Minutes;Trip_Price;Afternoon;Evening;Morning;Night;Weekday;Weekend;High;Low;Medium;Clear;Rain;Snow;Code;Cluster
0;19.35;3.0;3.56;0.8;0.32;53.82;36.2624;False;False;True;False;True;False;False;True;False;True;False;False;1;0
998;47.56;1.0;2.67;0.82;0.17;114.94;61.209;False;False;True;False;True;False;False;True;False;True;False;False;999;0
990;40.17;3.0;3.81;0.66;0.42;62.66;56.6394;False;True;False;False;True;False;False;True;False;True;False;False;991;0
34;48.32;2.0;2.49;0.61;0.44;67.25;61.5552;False;False;True;False;True;False;False;True;False;True;False;False;35;0
40;6.98;2.0;2.32;0.78;0.18;72.37;20.791;True;False;False;False;False;True;False;True;False;True;False;False;41;0
35;40.61;1.0;2.31;0.88;0.38;42.25;54.1018;True;False;False;False;True;False;False;True;False;True;False;False;36;0
51;38.98;3.0;3.16;1.28;0.26;15.47;57.0766;True;False;False;False;True;False;False;True;False;True;False;False;52;0
48;27.79;2.0;2.77;0.72;0.43;49.63;44.1197;False;True;False;False;True;False;False;True;False;True;False;False;49;0
955;19.77;4.0;2.57;2.0;0.16;34.47;47.6252;False;False;False;True;True;False;False;True;False;True;False;False;956;0
942;32.92;4.0;4.17;0.7;0.36;32.31;38.8456;False;True;False;False;True;False;False;True;False;True;False;False;943;0
873;21.03;4.0;4.74;1.41;0.4;105.47;76.5803;False;True;False;False;True;False;False;True;False;False;False;False;874;0
903;29.57;3.0;4.62;1.11;0.32;39.61;50.117900000000006;False;False;False;False;True;False;False;True;False;True;False;False;904;0
897;44.92;2.0;2.99;1.84;0.28;57.97;101.8744;False;False;True;False;True;False;False;True;False;True;False;False;898;0
899;5.19;4.0;4.57;0.87;0.48;7.6;12.7333;False;True;False;False;True;False;False;True;False;False;True;False;900;0
900;11.19;3.0;4.05;0.6;0.3;84.0;35.964;False;False;False;False;True;False;False;True;False;True;False;False;901;0
924;21.84;4.0;3.31;1.2;0.15;114.14;46.639;False;True;False;False;True;False;False;True;False;True;False;False;925;0
902;9.89;2.0;2.61;1.36;0.33;69.39;38.95910000000001;False;True;False;False;True;False;False;True;False;False;False;True;903;0
103;25.92;3.0;3.97;1.71;0.46;22.79;58.7766;False;False;False;True;True;False;False;True;False;True;False;False;104;0
812;7.11;2.0;4.01;0.95;0.11;86.46;20.2751;False;False;True;False;True;False;False;True;False;False;True;False;813;0
